x,y
1322,268
1321,269
1319,269
1316,272
1316,274
1315,275
1315,277
1314,278
1314,281
1313,282
1313,283
1312,284
1312,286
1311,287
1311,289
1309,291
1309,292
1308,293
1308,294
1307,295
1307,296
1305,298
1305,299
1302,302
1302,303
1298,307
1298,308
1289,317
1288,317
1277,328
1276,328
1269,335
1268,335
1264,339
1263,339
1259,343
1258,343
1254,347
1253,347
1250,350
1249,350
1246,353
1245,353
1243,355
1242,355
1239,358
1238,358
1236,360
1235,360
1233,362
1232,362
1230,364
1229,364
1227,366
1226,366
1224,368
1223,368
1222,369
1221,369
1219,371
1218,371
1216,373
1215,373
1214,374
1213,374
1211,376
1210,376
1209,377
1208,377
1206,379
1205,379
1204,380
1203,380
1202,381
1201,381
1199,383
1198,383
1197,384
1196,384
1195,385
1194,385
1192,387
1191,387
1190,388
1189,388
1188,389
1187,389
1186,390
1185,390
1184,391
1183,391
1182,392
1181,392
1180,393
1179,393
1178,394
1177,394
1176,395
1175,395
1174,396
1173,396
1172,397
1171,397
1170,398
1169,398
1168,399
1167,399
1166,400
1165,400
1164,401
1162,401
1161,402
1160,402
1158,404
1156,404
1155,405
1154,405
1153,406
1151,406
1149,408
1147,408
1146,409
1145,409
1144,410
1143,410
1142,411
1141,411
1140,412
1138,412
1137,413
1136,413
1135,414
1133,414
1132,415
1131,415
1130,416
1128,416
1127,417
1126,417
1125,418
1123,418
1122,419
1121,419
1120,420
1118,420
1117,421
1116,421
1115,422
1113,422
1112,423
1110,423
1109,424
1108,424
1107,425
1105,425
1104,426
1102,426
1101,427
1099,427
1098,428
1097,428
1096,429
1094,429
1093,430
1091,430
1090,431
1088,431
1087,432
1085,432
1084,433
1082,433
1081,434
1079,434
1078,435
1076,435
1075,436
1073,436
1072,437
1070,437
1069,438
1067,438
1066,439
1064,439
1063,440
1061,440
1060,441
1058,441
1057,442
1055,442
1054,443
1051,443
1050,444
1048,444
1047,445
1045,445
1044,446
1041,446
1040,447
1038,447
1037,448
1035,448
1034,449
1031,449
1030,450
1028,450
1027,451
1025,451
1024,452
1021,452
1020,453
1017,453
1016,454
1014,454
1013,455
1010,455
1009,456
1007,456
1006,457
1003,457
1002,458
1000,458
999,459
996,459
995,460
992,460
991,461
988,461
987,462
985,462
984,463
981,463
980,464
977,464
976,465
973,465
972,466
970,466
969,467
965,467
964,468
962,468
961,469
958,469
957,470
954,470
953,471
950,471
949,472
946,472
945,473
942,473
941,474
938,474
937,475
935,475
934,476
931,476
930,477
926,477
925,478
922,478
921,479
919,479
918,480
915,480
914,481
911,481
910,482
907,482
906,483
904,483
903,484
899,484
898,485
896,485
895,486
