x,y
357,39
356,40
343,40
342,41
333,41
332,42
327,42
326,43
321,43
320,44
317,44
316,45
313,45
312,46
308,46
307,47
305,47
304,48
302,48
301,49
299,49
298,50
296,50
294,52
291,52
290,53
289,53
288,54
287,54
286,55
285,55
284,56
282,56
280,58
279,58
278,59
277,59
276,60
275,60
274,61
273,61
270,64
268,64
264,68
263,68
262,69
261,69
258,72
257,72
252,77
251,77
237,91
237,92
233,96
233,97
230,100
230,101
228,103
228,104
226,106
226,108
225,109
224,109
224,110
223,111
223,112
222,113
222,114
220,116
220,118
218,120
218,122
216,124
216,126
214,128
214,130
212,132
212,134
211,135
211,136
210,137
210,140
208,142
208,144
207,145
207,146
206,147
206,150
205,151
205,152
204,153
204,156
203,157
203,158
202,159
202,162
201,163
201,164
200,165
200,168
199,169
199,171
198,172
198,174
197,175
197,177
196,178
196,180
195,181
195,183
194,184
194,186
193,187
193,189
192,190
192,194
191,195
191,196
190,197
190,200
189,201
189,202
188,203
188,206
187,207
187,208
186,209
186,212
185,213
185,215
184,216
184,218
183,219
183,221
182,222
182,224
181,225
181,227
180,228
180,230
179,231
179,233
178,234
178,236
177,237
177,240
176,241
176,244
175,245
175,246
174,247
174,250
173,251
173,252
172,253
172,256
171,257
171,258
170,259
170,262
169,263
169,265
168,266
168,268
167,269
167,271
166,272
166,274
165,275
165,277
164,278
164,280
163,281
163,283
162,284
162,286
161,287
161,290
160,291
160,294
159,295
159,296
158,297
158,300
157,301
157,302
156,303
156,306
155,307
155,308
154,309
154,312
153,313
153,315
152,316
152,318
151,319
151,321
150,322
150,324
149,325
149,327
148,328
148,330
147,331
147,333
146,334
146,338
145,339
145,340
144,341
144,344
143,345
143,346
142,347
142,350
141,351
141,352
140,353
140,356
139,357
139,358
138,359
138,362
137,363
137,365
136,366
136,368
135,369
135,371
134,372
134,374
133,375
133,377
132,378
132,380
131,381
131,383
130,384
130,388
129,389
129,390
128,391
128,394
127,395
127,396
126,397
126,400
125,401
125,402
124,403
124,406
123,407
123,408
122,409
122,412
121,413
121,415
120,416
120,418
119,419
119,421
118,422
118,424
117,425
117,427
116,428
116,430
115,431
115,433
114,434
114,438
113,439
113,440
112,441
112,444
111,445
111,446
110,447
110,450
109,451
109,452
108,453
108,456
107,457
107,459
106,460
106,462
105,463
105,465
104,466
104,468
103,469
103,471
102,472
102,474
101,475
101,477
100,478
100,480
99,481
99,484
98,485
98,488
97,489
97,490
96,491
96,494
95,495
95,496
94,497
94,500
93,501
93,502
92,503
92,506
91,507
91,509
90,510
90,512
89,513
89,515
88,516
88,518
87,519
87,521
86,522
86,524
85,525
85,527
84,528
84,530
83,531
83,534
82,535
82,538
81,539
81,540
80,541
80,544
79,545
79,546
78,547
78,550
77,551
77,552
76,553
76,556
75,557
75,559
74,560
74,562
73,563
73,565
72,566
72,568
71,569
71,571
70,572
70,574
69,575
69,577
68,578
68,582
67,583
67,584
66,585
66,588
65,589
65,590
64,591
64,594
63,595
63,596
62,597
62,600
61,601
61,602
60,603
60,606
59,607
59,609
58,610
58,612
57,613
57,615
56,616
56,618
55,619
55,621
54,622
54,624
53,625
53,627
52,628
52,632
51,633
51,634
50,635
50,638
49,639
49,640
48,641
48,644
47,645
47,646
46,647
46,650
45,651
45,652
44,653
44,656
43,657
43,659
42,660
42,662
41,663
41,665
40,666
40,668
39,669
39,671
38,672
38,674
37,675
37,677
36,678
36,682
35,683
35,684
34,685
34,688
33,689
33,690
32,691
32,694
31,695
31,696
30,697
30,700
29,701
29,703
28,704
28,706
27,707
27,709
26,710
26,712
25,713
25,715
24,716
24,718
23,719
23,721
22,722
22,724
21,725
21,728
20,729
20,732
19,733
19,734
18,735
18,737
170,737
170,736
171,735
171,733
172,732
172,729
173,728
173,725
174,724
174,723
175,722
175,719
176,718
176,717
177,716
177,713
178,712
178,711
179,710
179,707
180,706
180,704
181,703
181,701
182,700
182,698
183,697
183,695
184,694
184,692
185,691
185,689
186,688
186,686
187,685
187,683
188,682
188,679
189,678
189,675
190,674
190,673
191,672
191,669
192,668
192,667
193,666
193,663
194,662
194,661
195,660
195,657
196,656
196,654
197,653
197,651
198,650
198,648
199,647
199,645
200,644
200,642
201,641
201,639
202,638
202,636
203,635
203,631
204,630
204,629
205,628
205,625
206,624
206,623
207,622
207,619
208,618
208,617
209,616
209,613
210,612
210,611
211,610
211,607
212,606
212,604
213,603
213,601
214,600
214,598
215,597
215,595
216,594
216,592
217,591
217,589
218,588
218,586
219,585
219,581
220,580
220,579
221,578
221,575
222,574
222,573
223,572
223,569
224,568
224,567
225,566
225,563
226,562
226,561
227,560
227,557
228,556
228,554
229,553
229,551
230,550
230,548
231,547
231,545
232,544
232,542
233,541
233,539
234,538
234,535
235,534
235,531
236,530
236,529
237,528
237,525
238,524
238,523
239,522
239,519
240,518
240,517
241,516
241,513
242,512
242,510
243,509
243,507
244,506
244,504
245,503
245,501
246,500
246,498
247,497
247,495
248,494
248,492
249,491
249,489
250,488
250,485
251,484
251,481
252,480
252,479
253,478
253,475
254,474
254,473
255,472
255,469
256,468
256,467
257,466
257,463
258,462
258,460
259,459
259,457
260,456
260,454
261,453
261,451
262,450
262,448
263,447
263,445
264,444
264,442
265,441
265,439
266,438
266,435
267,434
267,431
268,430
268,429
269,428
269,425
270,424
270,423
271,422
271,419
272,418
272,417
273,416
273,413
274,412
274,410
275,409
275,407
276,406
276,404
277,403
277,401
278,400
278,398
279,397
279,395
280,394
280,392
281,391
281,387
282,386
282,385
283,384
283,381
284,380
284,379
285,378
285,375
286,374
286,373
287,372
287,369
288,368
288,367
289,366
289,363
290,362
290,360
291,359
291,357
292,356
292,354
293,353
293,351
294,350
294,348
295,347
295,345
296,344
296,342
297,341
297,337
298,336
298,335
299,334
299,331
300,330
300,329
301,328
301,325
302,324
302,323
303,322
303,319
304,318
304,316
305,315
305,313
306,312
306,310
307,309
307,307
308,306
308,304
309,303
309,301
310,300
310,298
311,297
311,295
312,294
312,291
313,290
313,287
314,286
314,285
315,284
315,281
316,280
316,279
317,278
317,275
318,274
318,273
319,272
319,269
320,268
320,266
321,265
321,263
322,262
322,260
323,259
323,257
324,256
324,254
325,253
325,251
326,250
326,248
327,247
327,245
328,244
328,241
329,240
329,237
330,236
330,235
331,234
331,231
332,230
332,229
333,228
333,225
334,224
334,223
335,222
335,219
336,218
336,216
337,215
337,213
338,212
338,210
339,209
339,207
340,206
340,204
341,203
341,201
342,200
342,199
343,198
343,197
344,196
344,195
345,194
345,193
351,187
352,187
353,186
354,186
355,185
357,185
358,184
364,184
365,183
366,183
367,184
373,184
374,185
376,185
377,186
378,186
379,187
380,187
386,193
386,194
387,194
388,195
388,197
389,198
389,200
390,201
390,203
392,205
392,209
393,210
393,212
394,213
394,215
395,216
395,218
396,219
396,221
397,222
397,224
398,225
398,227
399,228
399,230
400,231
400,234
401,235
401,236
402,237
402,240
403,241
403,242
404,243
404,246
405,247
405,248
406,249
406,252
407,253
407,254
408,255
408,259
409,260
409,262
410,263
410,265
411,266
411,268
412,269
412,271
413,272
413,274
414,275
414,277
415,278
415,280
416,281
416,284
417,285
417,286
418,287
418,290
419,291
419,292
420,293
420,296
421,297
421,298
422,299
422,302
423,303
423,304
424,305
424,309
425,310
425,312
426,313
426,315
427,316
427,318
428,319
428,321
429,322
429,324
430,325
430,327
431,328
431,330
432,331
432,334
433,335
433,336
434,337
434,340
435,341
435,342
436,343
436,346
437,347
437,348
438,349
438,352
439,353
439,356
440,357
440,359
441,360
441,362
442,363
442,365
443,366
443,368
444,369
444,371
445,372
445,374
446,375
446,377
447,378
447,380
448,381
448,384
449,385
449,386
450,387
450,390
451,391
451,392
452,393
452,396
453,397
453,398
454,399
454,402
455,403
455,406
456,407
456,409
457,410
457,412
458,413
458,415
459,416
459,418
460,419
460,421
461,422
461,424
462,425
462,427
463,428
463,430
464,431
464,434
465,435
465,436
466,437
466,440
467,441
467,442
468,443
468,446
469,447
469,448
470,449
470,453
471,454
471,456
472,457
472,459
473,460
473,462
474,463
474,465
475,466
475,468
476,469
476,471
477,472
477,474
478,475
478,478
479,479
479,480
480,481
480,484
481,485
481,486
482,487
482,490
483,491
483,492
484,493
484,496
485,497
485,498
486,499
486,503
487,504
487,506
488,507
488,509
489,510
489,512
490,513
490,515
491,516
491,518
492,519
492,521
493,522
493,524
494,525
494,528
495,529
495,530
496,531
496,534
497,535
497,536
498,537
498,540
499,541
499,542
500,543
500,546
501,547
501,548
502,549
502,553
503,554
503,556
504,557
504,559
505,560
505,562
506,563
506,565
507,566
507,568
508,569
508,571
509,572
509,574
510,575
510,578
511,579
511,580
512,581
512,584
513,585
513,586
514,587
514,590
515,591
515,592
516,593
516,596
517,597
517,600
518,601
518,603
519,604
519,606
520,607
520,609
521,610
521,612
522,613
522,615
523,616
523,618
524,619
524,621
525,622
525,624
526,625
526,628
527,629
527,630
528,631
528,634
529,635
529,636
530,637
530,640
531,641
531,642
532,643
532,646
533,647
533,650
534,651
534,653
535,654
535,656
536,657
536,659
537,660
537,662
538,663
538,665
539,666
539,668
540,669
540,671
541,672
541,674
542,675
542,678
543,679
543,680
544,681
544,684
545,685
545,686
546,687
546,690
547,691
547,692
548,693
548,697
549,698
549,700
550,701
550,703
551,704
551,706
552,707
552,709
553,710
553,712
554,713
554,715
555,716
555,718
556,719
556,722
557,723
557,724
558,725
558,728
559,729
559,730
560,731
560,734
561,735
561,737
710,737
711,738
711,779
711,737
562,737
561,736
561,734
560,733
560,731
559,730
559,728
558,727
558,725
557,724
557,722
556,721
556,719
555,718
555,715
554,714
554,713
553,712
553,709
552,708
552,707
551,706
551,703
550,702
550,701
549,700
549,697
548,696
548,693
547,692
547,690
546,689
546,687
545,686
545,684
544,683
544,681
543,680
543,678
542,677
542,675
541,674
541,672
540,671
540,669
539,668
539,665
538,664
538,663
537,662
537,659
536,658
536,657
535,656
535,653
534,652
534,651
533,650
533,646
532,645
532,643
531,642
531,640
530,639
530,637
529,636
529,634
528,633
528,631
527,630
527,628
526,627
526,625
525,624
525,621
524,620
524,619
523,618
523,615
522,614
522,613
521,612
521,609
520,608
520,607
519,606
519,603
518,602
518,601
517,600
517,596
516,595
516,593
515,592
515,590
514,589
514,587
513,586
513,584
512,583
512,581
511,580
511,578
510,577
510,575
509,574
509,571
508,570
508,569
507,568
507,565
506,564
506,563
505,562
505,559
504,558
504,557
503,556
503,553
502,552
502,549
501,548
501,546
500,545
500,543
499,542
499,540
498,539
498,537
497,536
497,534
496,533
496,531
495,530
495,528
494,527
494,525
493,524
493,521
492,520
492,519
491,518
491,515
490,514
490,513
489,512
489,509
488,508
488,507
487,506
487,503
486,502
486,499
485,498
485,496
484,495
484,493
483,492
483,490
482,489
482,487
481,486
481,484
480,483
480,481
479,480
479,478
478,477
478,475
477,474
477,471
476,470
476,469
475,468
475,465
474,464
474,463
473,462
473,459
472,458
472,457
471,456
471,453
470,452
470,449
469,448
469,446
468,445
468,443
467,442
467,440
466,439
466,437
465,436
465,434
464,433
464,431
463,430
463,428
462,427
462,425
461,424
461,421
460,420
460,419
459,418
459,415
458,414
458,413
457,412
457,409
456,408
456,407
455,406
455,402
454,401
454,399
453,398
453,396
452,395
452,393
451,392
451,390
450,389
450,387
449,386
449,384
448,383
448,381
447,380
447,377
446,376
446,375
445,374
445,371
444,370
444,369
443,368
443,365
442,364
442,363
441,362
441,359
440,358
440,357
439,356
439,352
438,351
438,349
437,348
437,346
436,345
436,343
435,342
435,340
434,339
434,337
433,336
433,334
432,333
432,331
431,330
431,327
430,326
430,325
429,324
429,321
428,320
428,319
427,318
427,315
426,314
426,313
425,312
425,309
424,308
424,305
423,304
423,302
422,301
422,299
421,298
421,296
420,295
420,293
419,292
419,290
418,289
418,287
417,286
417,284
416,283
416,281
415,280
415,277
414,276
414,275
413,274
413,271
412,270
412,269
411,268
411,265
410,264
410,263
409,262
409,259
408,258
408,255
407,254
407,252
406,251
406,249
405,248
405,246
404,245
404,243
403,242
403,240
402,239
402,237
401,236
401,234
400,233
400,231
399,230
